Run/Analysis	File Name	Run/Analysis contains files	File Type	MD5 Checksum
Run	r38-231018-3M_S35_L001_R2_001.fastq.gz		fastq	a69fd460868482dd0e65a1ff13191bfa
Run	r39-231018-4M_S36_L001_R1_001.fastq.gz		fastq	50923542c02f2edf7ce4055bc6996d7a
Run	r39-231018-4M_S36_L001_R2_001.fastq.gz		fastq	23f0e013dc338506f157aef22aed7b76
Run	r62-241017-4M_S59_L001_R1_001.fastq.gz		fastq	1e9ba2f0311c89ee44a1c6ca7c16f19b
Run	r62-241017-4M_S59_L001_R2_001.fastq.gz		fastq	3c0b3b373e469a1ba3e1d2fc1bc8f2b8
Run	r63-241017-5M_S60_L001_R1_001.fastq.gz		fastq	39cd6f2e3c2e46c3fe6cc8a60293b22c
Run	r63-241017-5M_S60_L001_R2_001.fastq.gz		fastq	c6097704eefde0a2d884fdff5c9dd394
Run	r67-241017-9M_S64_L001_R1_001.fastq.gz		fastq	a537629390a3dad7fb36046e18474cc3
Run	r67-241017-9M_S64_L001_R2_001.fastq.gz		fastq	bfc57523a266185d2c0b8b8908c46824
Run	r61A-241017-3M_S173_L001_R1_001.fastq.gz		fastq	7cca82e613c11169a8d51651550f4d05
Run	r61A-241017-3M_S173_L001_R2_001.fastq.gz		fastq	1d7807f69941ad839add68bb2f6c8240
Run	r65A-241017-7M_S174_L001_R1_001.fastq.gz		fastq	cddb1a04c0778ae18562a061c44e8eff
Run	r65A-241017-7M_S174_L001_R2_001.fastq.gz		fastq	9ae8aed577330708b3c9bc9126ccb132
Run	r61-241017-3M_S1_L001_R1_001.fastq.gz		fastq	9577443ff395bc0dd1c56db8d2936cce
Run	r61-241017-3M_S1_L001_R2_001.fastq.gz		fastq	996979344c6a7f8fc272d5e97f9068f7
Run	r66-241017-8M_S2_L001_R1_001.fastq.gz		fastq	ab1486abb9f283c53a90c579a01accbc
Run	r66-241017-8M_S2_L001_R2_001.fastq.gz		fastq	ad85057e65e22d0e53ccc52aa8686bdb
